ward_id,population,facility_count,dist_to_nearest_phc_km,historical_case_rate,cases_lag_1w,seasonal_index,rainfall_anomaly,pop_density,pop_density_norm
124,22907.0,0,7.748037306542442,13,24,1.7678934296680966,64.77499999999998,22907.0,0.15949062147522036
125,20416.0,0,7.536220821717305,13,24,1.7678934296680966,64.77499999999998,20416.0,0.142146965034186
123,25733.0,0,7.568018035128079,13,24,1.7678934296680966,64.77499999999998,25733.0,0.17916672468773062
118,34310.0,0,6.807440831513006,13,24,1.7678934296680966,64.77499999999998,34310.0,0.23888432456519015
120,28874.0,0,6.052546768793084,13,24,1.7678934296680966,64.77499999999998,28874.0,0.20103602411819588
121,25912.0,0,6.6746049373589855,13,24,1.7678934296680966,64.77499999999998,25912.0,0.18041301714174313
79,19748.0,0,6.289420051609194,13,24,1.7678934296680966,64.77499999999998,19748.0,0.13749599654658629
80,20318.0,0,5.485960386419685,13,24,1.7678934296680966,64.77499999999998,20318.0,0.14146463732193335
83,19140.0,0,2.655242605144654,13,24,1.7678934296680966,64.77499999999998,19140.0,0.1332627797195494
81,17123.0,0,6.589910026542922,13,24,1.7678934296680966,64.77499999999998,17123.0,0.11921936139696156
82,16338.0,0,4.358710457775092,13,24,1.7678934296680966,64.77499999999998,16338.0,0.11375377717126425
85,11304.0,0,6.80147288510778,13,24,1.7678934296680966,64.77499999999998,11304.0,0.07870441285004108
84,17825.0,0,4.481031307573475,13,24,1.7678934296680966,64.77499999999998,17825.0,0.1241070558255469
93,17368.0,0,2.760721669758158,13,24,1.7678934296680966,64.77499999999998,17368.0,0.1209251806775932
90,17329.0,0,3.513787222018005,13,24,1.7678934296680966,64.77499999999998,17329.0,0.12065364209822733
91,22285.0,0,3.812709262809409,13,24,1.7678934296680966,64.77499999999998,22285.0,0.1551599292607188
92,16511.0,0,3.433593159403168,13,24,1.7678934296680966,64.77499999999998,16511.0,0.11495829445922047
88,23618.0,0,4.469813582385992,13,24,1.7678934296680966,64.77499999999998,23618.0,0.16444097865289015
87,14375.0,0,4.653978511303939,13,24,1.7678934296680966,64.77499999999998,14375.0,0.100086335343183
89,16014.0,0,4.06048772309738,13,24,1.7678934296680966,64.77499999999998,16014.0,0.11149791820422486
192,29813.774193548383,0,13.540977090343375,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
193,29813.774193548383,0,13.124975797464666,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
194,29813.774193548383,0,13.922780128826895,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
195,29813.774193548383,0,14.90651501779393,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
196,29813.774193548383,0,15.94237338990247,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
197,29813.774193548383,0,16.95651330050094,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
198,29813.774193548383,0,18.94611709096976,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
199,29813.774193548383,0,21.265380909627428,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
191,29813.774193548383,0,15.157248312043388,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
183,29813.774193548383,0,11.282869530709734,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
185,29813.774193548383,0,12.298295227770543,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
184,29813.774193548383,0,10.565288582306534,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
186,29813.774193548383,0,11.785413558884242,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
187,29813.774193548383,0,10.10483214104134,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
169,29813.774193548383,0,9.279652581149923,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
168,29813.774193548383,0,8.405280865720039,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
190,29813.774193548383,0,14.470365177048128,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
188,29813.774193548383,0,10.974759824219316,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
179,29813.774193548383,0,9.223755021049469,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
182,29813.774193548383,0,11.123097528480084,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
181,29813.774193548383,0,10.519743241488344,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
176,29813.774193548383,0,9.805908074465783,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
173,29813.774193548383,0,8.919078206911793,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
170,29813.774193548383,0,4.498909834459781,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
171,29813.774193548383,0,5.995946684395832,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
175,29813.774193548383,0,8.71555925306733,13,24,1.7678934296680966,64.77499999999998,29813.774193548383,0.2075792279500117
