WARD_ID,WARD_AREA_KM2,POPULATION,NEAREST_FACILITY_KM,FACILITY_COUNT_2KM,DATA_AVAILABILITY,POPULATION_DENSITY,ACCESS_GAP,FACILITY_DEFICIT,RISK_SCORE,TOP_RISK_DRIVER,SHAP_POPULATION_DENSITY,SHAP_NEAREST_FACILITY_KM,SHAP_FACILITY_COUNT_2KM,SHAP_ACCESS_GAP,SHAP_FACILITY_DEFICIT
138,1.154530268144978,37720.0,0.1316365326342075,0.0,VALIDATED,0.174183161783474,0.1584985827454531,1.0,0.4122263,FACILITY_COUNT_2KM,-0.0001747531,0.00086128927,0.0917295,0.015819145,0.091329895
137,1.6181214084876605,22019.0,0.0936585537552714,0.0588235294117647,VALIDATED,0.0657773044465808,0.0452777177596797,0.0,0.038304795,FACILITY_COUNT_2KM,-0.018630974,-0.00089633575,-0.06924792,-0.018529152,-0.067052156
142,1.135086861635787,26525.0,0.2241304443951852,0.0,VALIDATED,0.1212809194453599,0.1927200112451407,1.0,0.41099524,FACILITY_DEFICIT,-0.005143365,0.00072800065,0.090300396,0.020189183,0.092259735
139,0.7013643331884808,35299.0,0.1812189627937215,0.0,VALIDATED,0.2745949327410076,0.3381317366885937,1.0,0.51747453,FACILITY_DEFICIT,0.040150374,0.0011914261,0.09656422,0.06541334,0.10149365
140,0.6813064815843671,33089.0,0.2005397632554287,0.0,VALIDATED,0.2645748454784438,0.3609835962959231,1.0,0.52012324,FACILITY_COUNT_2KM,0.023632022,0.00076196727,0.09829041,0.08839151,0.09638589
141,0.818713528676206,54598.0,0.2383081483965254,0.0,VALIDATED,0.367618438695478,0.5900466755199673,1.0,0.6447993,ACCESS_GAP,0.054544225,0.00066605216,0.11504612,0.1519545,0.10992713
134,1.047940136819283,23054.0,0.1770160027801585,0.0,VALIDATED,0.1134965530808462,0.142849069725544,1.0,0.39363533,FACILITY_DEFICIT,-0.009445941,0.00056831096,0.087547936,0.0070108715,0.095292926
135,0.930159437972815,49869.0,0.1835101507415039,0.0,VALIDATED,0.2932715106207853,0.3649276684979868,1.0,0.53666854,FACILITY_DEFICIT,0.035798807,0.0011914261,0.09829041,0.087081015,0.101645276
133,1.0213027656845075,25793.0,0.1508718807602554,0.0,VALIDATED,0.1320099857836325,0.1399134587313876,1.0,0.39387155,FACILITY_DEFICIT,-0.005319331,0.0006971155,0.08738647,0.0062796283,0.09216647
131,1.1805588753826044,58468.0,0.0903102458707814,0.0588235294117647,VALIDATED,0.2700266216240444,0.1657892686267796,0.1448313607443387,0.18495376,FACILITY_COUNT_2KM,0.03535684,-0.0010683645,-0.06877312,0.03688253,-0.030105429
130,1.1759738790459926,55784.0,0.1106145765837984,0.0588235294117647,VALIDATED,0.2581458846001448,0.1943858804229098,0.1036856446292843,0.18655404,FACILITY_COUNT_2KM,0.03457213,-0.002012117,-0.06861496,0.04092442,-0.030976791
